# train length : 91
[i] iter = 160000, loss = 0.0061, train_time = 9sec
[i] iter = 161000, loss = 0.0062, train_time = 9sec
[i] iter = 162000, loss = 0.0062, train_time = 9sec
[i] iter = 163000, loss = 0.0063, train_time = 9sec
[i] iter = 164000, loss = 0.0062, train_time = 8sec
[i] iter = 165000, loss = 0.0061, train_time = 8sec
[i] iter = 166000, loss = 0.0060, train_time = 8sec
[i] iter = 167000, loss = 0.0062, train_time = 8sec
[i] iter = 168000, loss = 0.0061, train_time = 8sec
[i] iter = 169000, loss = 0.0063, train_time = 9sec
[i] iter = 170000, loss = 0.0063, train_time = 9sec
[i] iter = 171000, loss = 0.0063, train_time = 9sec
[i] iter = 172000, loss = 0.0062, train_time = 9sec
[i] iter = 173000, loss = 0.0062, train_time = 9sec
[i] iter = 174000, loss = 0.0061, train_time = 9sec
[i] iter = 175000, loss = 0.0061, train_time = 9sec
[i] iter = 176000, loss = 0.0062, train_time = 9sec
[i] iter = 177000, loss = 0.0061, train_time = 9sec
[i] iter = 178000, loss = 0.0063, train_time = 9sec
[i] iter = 179000, loss = 0.0064, train_time = 9sec
[i] iter = 180000, loss = 0.0061, train_time = 9sec
[i] iter = 181000, loss = 0.0060, train_time = 9sec
[i] iter = 182000, loss = 0.0062, train_time = 9sec
[i] iter = 183000, loss = 0.0061, train_time = 9sec
[i] iter = 184000, loss = 0.0062, train_time = 9sec
[i] iter = 185000, loss = 0.0061, train_time = 9sec
[i] iter = 186000, loss = 0.0061, train_time = 8sec
[i] iter = 187000, loss = 0.0062, train_time = 9sec
[i] iter = 188000, loss = 0.0061, train_time = 9sec
[i] iter = 189000, loss = 0.0061, train_time = 9sec
[i] iter = 190000, loss = 0.0062, train_time = 9sec
[i] iter = 191000, loss = 0.0062, train_time = 9sec
[i] iter = 192000, loss = 0.0062, train_time = 9sec
[i] iter = 193000, loss = 0.0062, train_time = 9sec
[i] iter = 194000, loss = 0.0062, train_time = 9sec
[i] iter = 195000, loss = 0.0061, train_time = 9sec
[i] iter = 196000, loss = 0.0060, train_time = 9sec
[i] iter = 197000, loss = 0.0061, train_time = 9sec
[i] iter = 198000, loss = 0.0061, train_time = 8sec
[i] iter = 199000, loss = 0.0061, train_time = 8sec
[i] iter = 200000, loss = 0.0061, train_time = 8sec
[i] iter = 201000, loss = 0.0061, train_time = 9sec
[i] iter = 202000, loss = 0.0062, train_time = 8sec
[i] iter = 203000, loss = 0.0060, train_time = 9sec
